drug_name,mapping
FUROSEMIDE MY*30CPR 25MG,Furosemide Mylan Generics 25 mg compresse
DEPALGOS*28CPR RIV 5MG+325MG,DEPALGOS 5 mg + 325 mg compresse rivestite con film
DEPALGOS*28CPR RIV 10MG+325MG,DEPALGOS 10 mg + 325 mg compresse rivestite con film
DEPALGOS*28CPR RIV 20MG+325MG,DEPALGOS 20 mg + 325 mg compresse rivestite con film
DEPALGOS*28CPR EFF 5MG+325MG,DEPALGOS 5 mg / 325 mg compresse effervescenti
ZYVOXID*10SAC INF 2MG/ML 300ML,ZYVOXID 2mg/ml soluzione per infusione
"DAPAROX*OS GTT 18,5ML33,1MG/ML","Daparox 33,1mg/ml, gocce orali, soluzione"
VFEND*INF EV FL 200MG,VFEND 200 mg polvere per soluzione per infusione
"NITROGLICERINA LIM*10F 5MG/1,5","NITROGLICERINA Bioindustria L.I.M. 5mg/1,5 ml concentrato per soluzione per infusione"
PAROXETINA EG*28CPR RIV 20MG,PAROXETINA EG 20 mg compresse rivestite con film
LANTUS*SC 1FL 100U/ML 10ML,Lantus 100 unità/ml soluzione iniettabile in un flaconcino
VALCYTE*60CPR RIV 450MG FL,Valcyte 450 mg compresse rivestite con film
TRADOGUT*OS GTT 10ML 100MG/ML,TRADOGUT 50 mg capsule rigide
CEFTRIAXONE MY*IM EV 10FL 1G,"Ceftriaxone Mylan Generics 1000 mg/3,5 ml polvere e solvente"
CEFTRIAXONE MY*INF POLV 10FL2G,Ceftriaxone Mylan Generics 2000 mg polvere per soluzione per infusione
CALCIO LEVOFOL TE*1FL 10ML,CALCIO LEVOFOLINATO TEVA GENERICS
"CALCIO LEVOFOL TE*1FL 17,5ML",CALCIO LEVOFOLINATO TEVA GENERICS
EMEND*1CPS 125MG+2CPS 80MG,EMEND 125 mg capsule rigide
LYRICA*14CPS 25MG,Lyrica 25 mg capsule rigide
LYRICA*21CPS 50MG,Lyrica 50 mg capsule rigide
LYRICA*14CPS 75MG,Lyrica 75 mg capsule rigide
LYRICA*56CPS 75MG,Lyrica 75 mg capsule rigide
LYRICA*21CPS 100MG,Lyrica 100 mg capsule rigide
"VELCADE*EV SC 1FL 3,5MG","VELCADE 3,5 mg polvere per soluzione iniettabile"
